palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
difícil,2,2.2,2.2,0.7071,0.4472,0.8367,adjetivo
capaz,3,2.6,2.6,0,0.5477,0.5477,adjetivo
montaña,2.6,1.6,3,0.5477,0.8944,0,sustantivo
esperanza,2.8,1.8,2.6,0.4472,0.8367,0.8944,sustantivo
pierna,2.4,2.2,2.8,0.5477,0.8367,0.4472,sustantivo
canal,2.4,2.2,3,0.5477,0.8367,0,sustantivo
numeroso,2,2.2,3,0,0.4472,0,adjetivo
elemento,2.2,2,2.2,0.4472,0.7071,1.0954,sustantivo
control,1.8,2,2.6,0.4472,0.7071,0.8944,sustantivo
calor,2.4,2.4,3,0.8944,0.8944,0,sustantivo
oeste,2,2,2.6,0,0.7071,0.5477,sustantivo
función,2,2,2.2,0,0.7071,0.8367,sustantivo
atención,2.4,2.4,2.6,0.5477,0.8944,0.8944,sustantivo
blanco,2.2,1.8,3,0.4472,0.8367,0,sustantivo
necesidad,2,2.4,2.4,0,0.8944,0.8944,sustantivo
musical,3,2.6,2.6,0,0.5477,0.8944,adjetivo
piso,2,1.8,3,0,0.4472,0,sustantivo
seguro,2.8,2.2,2.4,0.4472,0.8367,0.8944,adjetivo
ingreso,2.2,2.6,2.2,0.4472,0.5477,0.8367,sustantivo
simplemente,2.4,2.2,1.8,0.5477,0.4472,0.8367,adverbio
político,1.2,2.4,2.4,0.4472,0.5477,0.8944,sustantivo
completo,2.4,2.2,2.6,0.5477,0.8367,0.5477,adjetivo
interés,2.4,2.4,2.8,0.5477,0.8944,0.4472,sustantivo
verano,3,2.2,3,0,0.8367,0,sustantivo
ala,2.6,2.4,3,0.5477,0.8944,0,sustantivo
mitad,2,1.6,2.4,0,0.5477,0.8944,sustantivo
ciencia,2.6,3,3,0.5477,0,0,sustantivo
hogar,3,2,3,0,0.7071,0,sustantivo
rápido,2,3,2.2,0.7071,0,0.8367,adjetivo
partido,2.2,2.8,2.8,0.4472,0.4472,0.4472,sustantivo
enorme,2.2,2.2,2.8,0.4472,0.4472,0.4472,adjetivo
nube,2.6,1.6,3,0.5477,0.8944,0,sustantivo
